login,commits_in_window,merged_prs_in_window,bucket
Birdulon,0,0,Dormant
BlackShift,0,0,Dormant
Blackiris,0,0,Dormant
BleedingXiko,0,0,Dormant
BlueberryGecko,0,0,Dormant
Bn-Fang,0,0,Dormant
BoThompson,0,0,Dormant
BobG1983,0,0,Dormant
Bogunovich,0,0,Dormant
BoilingFusion,0,0,Dormant
Bonfi96,0,0,Dormant
Booksbaum,0,0,Dormant
Borges-IST-2003,0,0,Dormant
BorisTheBrave,0,0,Dormant
BornStellarMakesEternalLasting,0,0,Dormant
BoydWiglaf,0,0,Dormant
BrainBlasted,0,0,Dormant
Brawmario,0,0,Dormant
Braxton901,0,0,Dormant
Brett-Mitchell,0,0,Dormant
Brettink,0,0,Dormant
Breush,0,0,Dormant
BrianMacIntosh,0,0,Dormant
Brickcaster,0,0,Dormant
BriiMawler,0,0,Dormant
BrinerLovo,0,0,Dormant
BrodyEller,0,0,Dormant
Broken1334,0,0,Dormant
BruceLiCong,0,0,Dormant
BrunoArmondBraga,0,0,Dormant
BurryBurst,0,0,Dormant
Burstwright,0,0,Dormant
BuzzBurrowes,0,0,Dormant
BuzzLord,0,0,Dormant
Byteron,0,0,Dormant
C-BJ,0,0,Dormant
CJNA,0,0,Dormant
CURR-E,0,0,Dormant
CaTaTo23,0,0,Dormant
CabbageAdi,0,0,Dormant
Cafalaarl,0,0,Dormant
CakHuri,0,0,Dormant
CalCJack,0,0,Dormant
Calamander,0,0,Dormant
CalebJohn,0,0,Dormant
CalebMRichardson,0,0,Dormant
Cammymoop,0,0,Dormant
CapitaineCookie,0,0,Dormant
Capital-EX,0,0,Dormant
CaptainProton42,0,0,Dormant
CardboardCarl,0,0,Dormant
Carlos-Cabello,0,0,Dormant
Carmot,0,0,Dormant
Cass-dev-web,0,0,Dormant
CasualGarageCoder,0,0,Dormant
CasualSideo,0,0,Dormant
CatThingy,0,0,Dormant
Catchawink,0,0,Dormant
Catprog,0,0,Dormant
CedNaru,0,0,Dormant
Cere-dev,0,0,Dormant
Cerno-b,0,0,Dormant
Cevantime,0,0,Dormant
ChainedLupine,0,0,Dormant
Chais,0,0,Dormant
ChaminW,0,0,Dormant
CharlieQLe,0,0,Dormant
CheesecakeCG,0,0,Dormant
CheetoMonster,0,0,Dormant
CherrySodaPop,0,0,Dormant
ChibiDenDen,0,0,Dormant
Chibin,0,0,Dormant
Chinmaygoyal,0,0,Dormant
Chlorobite,0,0,Dormant
Chownie,0,0,Dormant
ChrisKonishi,0,0,Dormant
ChristianForeman,0,0,Dormant
ChristopheClaustre,0,0,Dormant
ChristopheLY,0,0,Dormant
Chrisyss,0,0,Dormant
Chronos-W,0,0,Dormant
Chtau,0,0,Dormant
CinchBlue,0,0,Dormant
ClarkThyLord,0,0,Dormant
Clawber,0,0,Dormant
ClinToch,0,0,Dormant
ClockRate,0,0,Dormant
CncealDVRflectN,0,0,Dormant
Cnidarias,0,0,Dormant
CodeAndWeb,0,0,Dormant
CodeLazier,0,0,Dormant
CodeMaster7000,0,0,Dormant
CodeforEvolution,0,0,Dormant
Coder2398,0,0,Dormant
CoderJo-Pro,0,0,Dormant
CodingThe,0,0,Dormant
ColinClark383,0,0,Dormant
ColinHeathman,0,0,Dormant
ColinKinloch,0,0,Dormant
ComancheAk,0,0,Dormant
CombustibleLemonade,0,0,Dormant
Commander-Firestrike,0,0,Dormant
CompeteMe,0,0,Dormant
ComycSans,0,0,Dormant
Connall,0,0,Dormant
ConorLPBoyle,0,0,Dormant
ConteZero,0,0,Dormant
CookieCherith0969,0,0,Dormant
CoolDotty,0,0,Dormant
CorattiS86,0,0,Dormant
CoreTaxxe,0,0,Dormant
CorentinBrule,0,0,Dormant
Corruptinator,0,0,Dormant
CowThing,0,0,Dormant
CptPotato,0,0,Dormant
Cradmon,0,0,Dormant
Craig-Stoneham,0,0,Dormant
Crashim03,0,0,Dormant
Crazy-P,0,0,Dormant
CreggHancock,0,0,Dormant
Cretezy,0,0,Dormant
CrezyDud,0,0,Dormant
Crimzoth,0,0,Dormant
CrispyPin,0,0,Dormant
CristianoSimao,0,0,Dormant
Cronos87,0,0,Dormant
Cruel,0,0,Dormant
Cryszon,0,0,Dormant
CyanBlob,0,0,Dormant
Cyberrebell,0,0,Dormant
Cybolic,0,0,Dormant
Cygon,0,0,Dormant
CypherDoesStuff,0,0,Dormant
D-T-666,0,0,Dormant
D-first,0,0,Dormant
D3ZAX,0,0,Dormant
DCTewi,0,0,Dormant
DCubix,0,0,Dormant
DDAN-17,0,0,Dormant
DHNebula,0,0,Dormant
DNKpp,0,0,Dormant
DNS,0,0,Dormant
DR4UGUR,0,0,Dormant
DSteve595,0,0,Dormant
DTV96Calibre,0,0,Dormant
DaZang,0,0,Dormant
DaelonSuzuka,0,0,Dormant
DaividFrank,0,0,Dormant
DaltonSW,0,0,Dormant
Damdahlf,0,0,Dormant
Dams4K,0,0,Dormant
Dancovich,0,0,Dormant
Daniel-The-Fox,0,0,Dormant
DanielKauss,0,0,Dormant
DanielKriz,0,0,Dormant
DanielMatarov,0,0,Dormant
DanteMarshal,0,0,Dormant
Dar13,0,0,Dormant
DarellLdark,0,0,Dormant
Darenn,0,0,Dormant
DarkKilauea,0,0,Dormant
DarkeyPro,0,0,Dormant
Darkinggq,0,0,Dormant
DarknessCatt,0,0,Dormant
DarthKitten2130,0,0,Dormant
David1Socha,0,0,Dormant
DavidHusicka,0,0,Dormant
DavidSichma,0,0,Dormant
Daw11,0,0,Dormant
Dbeckett23,0,0,Dormant
DearthDev,0,0,Dormant
Decodetalkers,0,0,Dormant
Deledrius,0,0,Dormant
DeleteSystem32,0,0,Dormant
DeltaW0x,0,0,Dormant
Deluvi,0,0,Dormant
Demindiro,0,0,Dormant
Demiu,0,0,Dormant
DennisManaa,0,0,Dormant
Densorius,0,0,Dormant
Dentrax,0,0,Dormant
Dentyr,0,0,Dormant
Deozaan,0,0,Dormant
DeuxAlpha,0,0,Dormant
DevanOBoyle,0,0,Dormant
Devashishsingh98,0,0,Dormant
DevinPentecost,0,0,Dormant
Devination,0,0,Dormant
Dheatly23,0,0,Dormant
DictyosteliumDiscoideum,0,0,Dormant
Diddykonga,0,0,Dormant
DigitalMonkeyPa1,0,0,Dormant
DimitriPilot3,0,0,Dormant
Dimonasdf,0,0,Dormant
DinDotDout,0,0,Dormant
Dinocool,0,0,Dormant
DiogoASTeixeira,0,0,Dormant
DissonantVoid,0,0,Dormant
Distantz,0,0,Dormant
DmitriySalnikov,0,0,Dormant
Dobbias,0,0,Dormant
DoctorAlpaca,0,0,Dormant
Dodoveloper,0,0,Dormant
DollKM,0,0,Dormant
Donnnno,0,0,Dormant
DorianSzlachcic,0,0,Dormant
Dorodri,0,0,Dormant
DrMoriarty,0,0,Dormant
DrNochi,0,0,Dormant
DrRevert,0,0,Dormant
Drachenfels,0,0,Dormant
DragonDev1906,0,0,Dormant
Drakaroft,0,0,Dormant
Drako,0,0,Dormant
DrewV3,0,0,Dormant
Duddino,0,0,Dormant
Dumbeldor,0,0,Dormant
Duroxxigar,0,0,Dormant
DustOneHub,0,0,Dormant
DylanCheetah,0,0,Dormant
DylanMurphey,0,0,Dormant
EIREXE,0,0,Dormant
EMBYRDEV,0,0,Dormant
ERIIX,0,0,Dormant
ERUD1T3,0,0,Dormant
EbbDrop,0,0,Dormant
EddieBreeg,0,0,Dormant
EdwardBetts,0,0,Dormant
EelisOtsamo,0,0,Dormant
EgeYildir,0,0,Dormant
ElCosmoXD,0,0,Dormant
ElGatoNinja,0,0,Dormant
ElMikosch,0,0,Dormant
ElectricSolstice,0,0,Dormant
ElectricTubaphone,0,0,Dormant
ElfWitch,0,0,Dormant
EliasVincent,0,0,Dormant
Elinvention,0,0,Dormant
Enhex,0,0,Dormant
Enverbalalic,0,0,Dormant
Eoin-ONeill-Yokai,0,0,Dormant
EpEpDragon,0,0,Dormant
Eranot,0,0,Dormant
ErezShahaf,0,0,Dormant
Ertain,0,0,Dormant
Erveon,0,0,Dormant
EspeuteClement,0,0,Dormant
Essojadojef,0,0,Dormant
EterDelta,0,0,Dormant
Ev01,0,0,Dormant
Evanaellio,0,0,Dormant
Evrey,0,0,Dormant
ExpiredPopsicle,0,0,Dormant
Exxion,0,0,Dormant
FEDE0D,0,0,Dormant
FIF15,0,0,Dormant
FaberTheCatgirl,0,0,Dormant
FailSpy,0,0,Dormant
FantasmaGolicon,0,0,Dormant
Faolan-Rad,0,0,Dormant
FaycalElOuariachi,0,0,Dormant
Faymoon,0,0,Dormant
FeatherAntennae,0,0,Dormant
Federico-Ciuffardi,0,0,Dormant
FelipeMatoba,0,0,Dormant
Feniks-Gaming,0,0,Dormant
FeralBytes,0,0,Dormant
Fermats-Fish,0,0,Dormant
Festerdam,0,0,Dormant
FigyTuna,0,0,Dormant
Filipeasl,0,0,Dormant
Fiona,0,0,Dormant
Firepal,0,0,Dormant
Fishrock123,0,0,Dormant
Fitch24,0,0,Dormant
FlashViper,0,0,Dormant
Flavelius,0,0,Dormant
Fluffel,0,0,Dormant
Fonhil,0,0,Dormant
ForLoveOfCats,0,0,Dormant
ForestKatsch,0,0,Dormant
FractalDiane,0,0,Dormant
Fran6nd,0,0,Dormant
FranckRJ,0,0,Dormant
FrazerClews,0,0,Dormant
FrederickKDP,0,0,Dormant
FreegleBarr,0,0,Dormant
Frefreak,0,0,Dormant
Frixuu,0,0,Dormant
Fro-Z,0,0,Dormant
FroznMine,0,0,Dormant
Fruitsalad,0,0,Dormant
Fulanko,0,0,Dormant
FuzzyRhombus,0,0,Dormant
G4MR,0,0,Dormant
GDYendell,0,0,Dormant
GK-GreyGhost,0,0,Dormant
GNSS-Stylist,0,0,Dormant
GTcreyon,0,0,Dormant
GabrielBigardi,0,0,Dormant
GagaPete,0,0,Dormant
Gaktan,0,0,Dormant
GalanCM,0,0,Dormant
Gallilus,0,0,Dormant
GameDevLlama,0,0,Dormant
Gamepro5,0,0,Dormant
GanidhuAbey,0,0,Dormant
Garmelon,0,0,Dormant
Garteal,0,0,Dormant
Gastronok,0,0,Dormant
Gatada,0,0,Dormant
Gearhartlove,0,0,Dormant
Geequlim,0,0,Dormant
Gerfalerf,0,0,Dormant
GermanAizek,0,0,Dormant
Germanrc,0,0,Dormant
Germenzi,0,0,Dormant
GeroVeni,0,0,Dormant
Gerold31,0,0,Dormant
GhostWalker562,0,0,Dormant
Giacom,0,0,Dormant
GiantBlargg,0,0,Dormant
GibionMillak,0,0,Dormant
GithubPrankster,0,0,Dormant
GiuseppeZani,0,0,Dormant
Giwayume,0,0,Dormant
GlaDos28,0,0,Dormant
GlaceGwyneth,0,0,Dormant
GlitchedCode,0,0,Dormant
GlyphTheWolf,0,0,Dormant
Gnumaru,0,0,Dormant
GoDino,0,0,Dormant
Gogsi,0,0,Dormant
Goldenlion5648,0,0,Dormant
GopherDevGames,0,0,Dormant
Gordon-F,0,0,Dormant
Gorgonx7,0,0,Dormant
Goutte,0,0,Dormant
GrahameGW,0,0,Dormant
GrammAcc,0,0,Dormant
Griefchief,0,0,Dormant
Grimmr,0,0,Dormant
Grosskopf,0,0,Dormant
Grula,0,0,Dormant
GryphonClaw,0,0,Dormant
Guh-Feng,0,0,Dormant
GuidoRevers,0,0,Dormant
Gurka2,0,0,Dormant
Gurvan,0,0,Dormant
Gustavobb,0,0,Dormant
H4kor,0,0,Dormant
HEAVYPOLY,0,0,Dormant
HK-SHAO,0,0,Dormant
HaSa1002,0,0,Dormant
HalcyonGarside,0,0,Dormant
Handola,0,0,Dormant
HanzCEO,0,0,Dormant
Hardm,0,0,Dormant
HarisYalcinkaya,0,0,Dormant
Harrison-Salzverg,0,0,Dormant
Harsche,0,0,Dormant
Hassan-A,0,0,Dormant
HaydenLeeteUC,0,0,Dormant
Haydoggo,0,0,Dormant
HaywardMorihara,0,0,Dormant
HeadCrab654,0,0,Dormant
HeartoLazor,0,0,Dormant
HectorVe,0,0,Dormant
Heikki00,0,0,Dormant
HellonLegs,0,0,Dormant
Hendrikto,0,0,Dormant
Henri-Langenhoven,0,0,Dormant
HenryClones,0,0,Dormant
HenryWConklin,0,0,Dormant
HexagonNico,0,0,Dormant
Hezaerd,0,0,Dormant
HiMyNameIsBennet,0,0,Dormant
HipsterPenguin,0,0,Dormant
Hobitus,0,0,Dormant
Hodes,0,0,Dormant
HolySkyMin,0,0,Dormant
Homer666,0,0,Dormant
Hondres,0,0,Dormant
HoratioZEDU,0,0,Dormant
Host32,0,0,Dormant
HotHead007,0,0,Dormant
Houkime,0,0,Dormant
Howardw3,0,0,Dormant
HummusSamurai,0,0,Dormant
HungryProton,0,0,Dormant
Hurakano,0,0,Dormant
Huxellberger,0,0,Dormant
HybridEidolon,0,0,Dormant
IAmActuallyCthulhu,0,0,Dormant
ISylvox,0,0,Dormant
IanGaither,0,0,Dormant
IcedQuinn,0,0,Dormant
IgnacioHdI,0,0,Dormant
IgorKordiukiewicz,0,0,Dormant
Igorrreha,0,0,Dormant
IllusiveS,0,0,Dormant
IllustratedMan-code,0,0,Dormant
ImpishOaths,0,0,Dormant
InfiniteAnts,0,0,Dormant
InfiniteCactusDev,0,0,Dormant
InfinitiesLoop,0,0,Dormant
Infinixius,0,0,Dormant
Iniquitatis,0,0,Dormant
Innocent-Traitor,0,0,Dormant
IntangibleMatter,0,0,Dormant
Invertex,0,0,Dormant
Irtaza147,0,0,Dormant
Iskustvo,0,0,Dormant
Italo-Vieira,0,0,Dormant
Ithamar,0,0,Dormant
ItsNL,0,0,Dormant
ItsVeryWindy,0,0,Dormant
ItzCog,0,0,Dormant
J-N-Witch,0,0,Dormant
J08nY,0,0,Dormant
JBrowne017,0,0,Dormant
JCordara,0,0,Dormant
JFonS,0,0,Dormant
JIghtuse,0,0,Dormant
JNatheriver,0,0,Dormant
JPTeasdale,0,0,Dormant
Jackerty,0,0,Dormant
Jackneill,0,0,Dormant
JacobMillner,0,0,Dormant
JakubDemocko,0,0,Dormant
Jamesrich23,0,0,Dormant
Jamprer,0,0,Dormant
Jamsers,0,0,Dormant
Janglee123,0,0,Dormant
JankMultiMediaStudio,0,0,Dormant
Jantho1990,0,0,Dormant
Jason0214,0,0,Dormant
Jasuse,0,0,Dormant
JaviARodriguez,0,0,Dormant
JayTropper,0,0,Dormant
Jayman2000,0,0,Dormant
JeffVenancius,0,0,Dormant
Jellonator,0,0,Dormant
JellyWX,0,0,Dormant
Jeremyb498,0,0,Dormant
Jerrody,0,0,Dormant
JerryLi-lab,0,0,Dormant
Jess3Jane,0,0,Dormant
JessePri,0,0,Dormant
JestemStefan,0,0,Dormant
JezerM,0,0,Dormant
JiahuiCai,0,0,Dormant
Jiali-Qiu,0,0,Dormant
Jimmio92,0,0,Dormant
Jlalond,0,0,Dormant
JoaoAlvaroFerreira,0,0,Dormant
JoelBesada,0,0,Dormant
JohanAR,0,0,Dormant
John-Gdi,0,0,Dormant
JohnGabrielUK,0,0,Dormant
JohnM666,0,0,Dormant
JohnVeness,0,0,Dormant
JohnnyLeone,0,0,Dormant
JonasKorte,0,0,Dormant
JonatasOrsini,0,0,Dormant
Jonathan-Jay-TB,0,0,Dormant
JonqsGames,0,0,Dormant
JoseTMonagas,0,0,Dormant
Joseph-DiGiovanni,0,0,Dormant
JosephCatrambone,0,0,Dormant
Josephblt,0,0,Dormant
JoshIQui,0,0,Dormant
JoshLee0915,0,0,Dormant
JoshTheDerf,0,0,Dormant
JoshuaGrams,0,0,Dormant
JoshuaKabo,0,0,Dormant
JosiasAurel,0,0,Dormant
JotaFaD,0,0,Dormant
Joxno,0,0,Dormant
JuanFdS,0,0,Dormant
Juankz,0,0,Dormant
JulienVanelian,0,0,Dormant
Jummit,0,0,Dormant
JustSascha,0,0,Dormant
JustVicctor,0,0,Dormant
Justin113D,0,0,Dormant
JustinDodemaide,0,0,Dormant
JyKin,0,0,Dormant
Jylhis,0,0,Dormant
KANAjetzt,0,0,Dormant
KLee1248,0,0,Dormant
KPGabor1999,0,0,Dormant
Kabiirk,0,0,Dormant
Kaligule,0,0,Dormant
Kalrog,0,0,Dormant
KamilBrzoskowski,0,0,Dormant
Kanabenki,0,0,Dormant
Kaonnull,0,0,Dormant
Karmavil,0,0,Dormant
Kartik1397,0,0,Dormant
KaruroChori,0,0,Dormant
Kaukamieli,0,0,Dormant
KawanWeege,0,0,Dormant
KdotJPG,0,0,Dormant
Keerpich,0,0,Dormant
Keetz,0,0,Dormant
KelinciFX,0,0,Dormant
KellyThomas,0,0,Dormant
Kemikal1,0,0,Dormant
Kermer,0,0,Dormant
KernRat,0,0,Dormant
Kev,0,0,Dormant
Keyaku,0,0,Dormant
Khasehemwy,0,0,Dormant
Khejanin,0,0,Dormant
Kibouo,0,0,Dormant
Kieran-Whelan,0,0,Dormant
Kiisu-Master,0,0,Dormant
Killfrra,0,0,Dormant
Kimau,0,0,Dormant
Kinrany,0,0,Dormant
Kinwailo,0,0,Dormant
KiritoAM,0,0,Dormant
Klaim,0,0,Dormant
Klowner,0,0,Dormant
KlugeNico,0,0,Dormant
KnightNine,0,0,Dormant
Koalamana9,0,0,Dormant
KoalasinTraffic,0,0,Dormant
KokaKnut,0,0,Dormant
Konstantin-Kretov,0,0,Dormant
Krakean,0,0,Dormant
Krigu,0,0,Dormant
Kristonitas,0,0,Dormant
KrukDallan,0,0,Dormant
Kryptocron,0,0,Dormant
Krzycho666,0,0,Dormant
KuaiDain,0,0,Dormant
Kubulambula,0,0,Dormant
Kurble,0,0,Dormant
KurtBliss,0,0,Dormant
Kvel2D,0,0,Dormant
Kyetuur,0,0,Dormant
Kylogias,0,0,Dormant
L4Vo5,0,0,Dormant
LATRio,0,0,Dormant
LLschuster,0,0,Dormant
LRFLEW,0,0,Dormant
LRJiao,0,0,Dormant
LaBlazer,0,0,Dormant
Laelaps9,0,0,Dormant
LagowiecDev,0,0,Dormant
Lasuch69,0,0,Dormant
Lateasusual,0,0,Dormant
Latentsage,0,0,Dormant
Lauson1ex,0,0,Dormant
Lcbx,0,0,Dormant
LeCodeurDuDimanche,0,0,Dormant
Leandros,0,0,Dormant
LeaoLuciano,0,0,Dormant
Lefl1,0,0,Dormant
Leleat,0,0,Dormant
LemmaEOF,0,0,Dormant
LemonadeFlashbang,0,0,Dormant
LennyPhoenix,0,0,Dormant
LeoBelda,0,0,Dormant
LeonStansfield,0,0,Dormant
LeonardMeagher2,0,0,Dormant
LeonardoDemartino,0,0,Dormant
Lerc,0,0,Dormant
Lerg,0,0,Dormant
Lertsenem,0,0,Dormant
LeulMulugeta,0,0,Dormant
Levrault,0,0,Dormant
Lexpeartha,0,0,Dormant
Leytak,0,0,Dormant
LiBooks,0,0,Dormant
LiamDobbelaere,0,0,Dormant
Liangdi,0,0,Dormant
Life4gal,0,0,Dormant
LightIncorporated,0,0,Dormant
Lii02,0,0,Dormant
LikeLakers2,0,0,Dormant
Limb,0,0,Dormant
LimestaX,0,0,Dormant
LinkTsang,0,0,Dormant
LinqLover,0,0,Dormant
LinuxUserGD,0,0,Dormant
Lisapple,0,0,Dormant
Listwon,0,0,Dormant
LiterallyVoid,0,0,Dormant
LittleWhite-tb,0,0,Dormant
LizzyTB,0,0,Dormant
LlamaLad7,0,0,Dormant
LoipesMas,0,0,Dormant
LoparPanda,0,0,Dormant
LoserFox,0,0,Dormant
LothairKizardjian,0,0,Dormant
LoubiTek,0,0,Dormant
Lssikkes,0,0,Dormant
Lu-TheCoder,0,0,Dormant
Lucas3H,0,0,Dormant
LucasLaukka,0,0,Dormant
Lucrecious,0,0,Dormant
Luigi654,0,0,Dormant
Luis-Wong,0,0,Dormant
LuizZak,0,0,Dormant
LunaTheFoxgirl,0,0,Dormant
Lunadyn,0,0,Dormant
Lunarisnia,0,0,Dormant
LunaticInAHat,0,0,Dormant
Lunatix89,0,0,Dormant
Lunatoid,0,0,Dormant
M-O-Marmalade,0,0,Dormant
M4rYu5,0,0,Dormant
MAG-MichaelK,0,0,Dormant
MBoqui,0,0,Dormant
MWGNZ,0,0,Dormant
MacHinist12,0,0,Dormant
MadEqua,0,0,Dormant
MadMcCrow,0,0,Dormant
Madalaski,0,0,Dormant
MaeIsBad,0,0,Dormant
MagicalPineapple,0,0,Dormant
Magorx,0,0,Dormant
Magurosenbei,0,0,Dormant
Mahoukyou,0,0,Dormant
MajorGonzo,0,0,Dormant
Makosai,0,0,Dormant
Malcolmnixon,0,0,Dormant
Mallardbro,0,0,Dormant
MannyFluss,0,0,Dormant
ManpreetXSingh,0,0,Dormant
Mantle-Core,0,0,Dormant
Mar0Lard,0,0,Dormant
MarcoFazioRandom,0,0,Dormant
MarcusElg,0,0,Dormant
Marigem,0,0,Dormant
MarioLiebisch,0,0,Dormant
Markaroninoranor,0,0,Dormant
Marqin,0,0,Dormant
MarqusJonsson,0,0,Dormant
Martho42,0,0,Dormant
Marthog,0,0,Dormant
MarufSarker,0,0,Dormant
MarvinFF,0,0,Dormant
Maski0,0,0,Dormant
MasonAsh,0,0,Dormant
Masoom9587,0,0,Dormant
MateusMP,0,0,Dormant
Mathis-Z,0,0,Dormant
MattUV,0,0,Dormant
MatthewLJensen,0,0,Dormant
MatthewTave,0,0,Dormant
MatthewZelriche,0,0,Dormant
Mavhod,0,0,Dormant
Max-Might,0,0,Dormant
MaxIsJoe,0,0,Dormant
MaxLap,0,0,Dormant
MaxStgs,0,0,Dormant
Maykeye,0,0,Dormant
Meckie,0,0,Dormant
MednauN,0,0,Dormant
Megamega53,0,0,Dormant
Mek101,0,0,Dormant
Mellondill,0,0,Dormant
MelvinWM,0,0,Dormant
MendicantNinja,0,0,Dormant
Mequam,0,0,Dormant
MerKki,0,0,Dormant
Meriipu,0,0,Dormant
Mervius,0,0,Dormant
MetalChair,0,0,Dormant
Mewiof,0,0,Dormant
Michael-Dobbins,0,0,Dormant
Michael-Lfx,0,0,Dormant
MichaelBelousov,0,0,Dormant
MichaelJBrune,0,0,Dormant
MichaelShaulskiy,0,0,Dormant
MickeMakaron,0,0,Dormant
MidZik,0,0,Dormant
Mielek,0,0,Dormant
MightyPrinny,0,0,Dormant
Miguel0312,0,0,Dormant
MikeSchulze,0,0,Dormant
MikeXYZW,0,0,Dormant
MileyHollenberg,0,0,Dormant
Miltage,0,0,Dormant
MineBill,0,0,Dormant
Minoxs,0,0,Dormant
Mintormo,0,0,Dormant
MinusKube,0,0,Dormant
MisoMosiSpy,0,0,Dormant
MisterMX,0,0,Dormant
MitchellTR,0,0,Dormant
Mitten-O,0,0,Dormant
Mknsri,0,0,Dormant
MladoniSzabi,0,0,Dormant
MmAaXx500,0,0,Dormant
ModProg,0,0,Dormant
MohammadAlkurd,0,0,Dormant
MohammadKhashashneh,0,0,Dormant
MoltenCoffee,0,0,Dormant
MonterraByte,0,0,Dormant
MordechaiHadad,0,0,Dormant
MorganKF,0,0,Dormant
MostafaHassan,0,0,Dormant
MostafaMTH,0,0,Dormant
MovaUA,0,0,Dormant
MrBrain295,0,0,Dormant
MrGreenTea,0,0,Dormant
MrMinimal,0,0,Dormant
MrRevington,0,0,Dormant
MrSquigy,0,0,Dormant
MuffinManKen,0,0,Dormant
MunWolf,0,0,Dormant
MuresanVladMihail,0,0,Dormant
Musicgun47,0,0,Dormant
MylesScholz,0,0,Dormant
MystMagus,0,0,Dormant
MythTitans,0,0,Dormant
N0hbdy,0,0,Dormant
N1ckoM99,0,0,Dormant
NEO97online,0,0,Dormant
NHodgesVFX,0,0,Dormant
NNesh,0,0,Dormant
Na-r,0,0,Dormant
Nallebeorn,0,0,Dormant
Naming-things-is-hard-btw,0,0,Dormant
Nannaquin,0,0,Dormant
Nanotross,0,0,Dormant
Nappael,0,0,Dormant
NathanLovato,0,0,Dormant
NathanWarden,0,0,Dormant
NaughtyGnosiophile,0,0,Dormant
Nefalox,0,0,Dormant
Nehluxhes,0,0,Dormant
NeilKleistGao,0,0,Dormant
NeoSpark314,0,0,Dormant
Nep-Toodles,0,0,Dormant
Neutrino-Sunset,0,0,Dormant
NewDefectus,0,0,Dormant
Nhiqill,0,0,Dormant
Nibodhika,0,0,Dormant
Nicehead,0,0,Dormant
NickToony,0,0,Dormant
Nickswoboda,0,0,Dormant
NicoCobb,0,0,Dormant
NicolasPetton,0,0,Dormant
Nidjo123,0,0,Dormant
NiftyHat,0,0,Dormant
Niharkanta1,0,0,Dormant
NikodemL,0,0,Dormant
NilsIrl,0,0,Dormant
Ninchan13,0,0,Dormant
Nirhar,0,0,Dormant
NiskashY,0,0,Dormant
NoFr1ends,0,0,Dormant
NoGodDamnName,0,0,Dormant
NoahGori,0,0,Dormant
Nohac,0,0,Dormant
Nomad1,0,0,Dormant
Nonnu42,0,0,Dormant
Nordup,0,0,Dormant
Norrox,0,0,Dormant
Nosliwnayr,0,0,Dormant
Novakasa,0,0,Dormant
Nr7,0,0,Dormant
NuclearPhoenixx,0,0,Dormant
Nufflee,0,0,Dormant
Nulifier,0,0,Dormant
NumbuhFour,0,0,Dormant
Nutriz,0,0,Dormant
OBKF,0,0,Dormant
ODtian,0,0,Dormant
OXTyler,0,0,Dormant
Oberon-Zheng,0,0,Dormant
Occalepsus,0,0,Dormant
Oen44,0,0,Dormant
OlesyaGerasimenko,0,0,Dormant
OlliO6,0,0,Dormant
OmarShehata,0,0,Dormant
OneBogdan01,0,0,Dormant
Oneil974,0,0,Dormant
Ongnissim,0,0,Dormant
Onyx-Dynavonix,0,0,Dormant
OppositeNor,0,0,Dormant
Orangestar12,0,0,Dormant
OsamaElHariri,0,0,Dormant
Outrider0x400,0,0,Dormant
Overblob,0,0,Dormant
OvercookedRoach,0,0,Dormant
OverloadedOrama,0,0,Dormant
Ovnuniarchos,0,0,Dormant
OwenAEdwards,0,0,Dormant
Owl-A,0,0,Dormant
OwlyCode,0,0,Dormant
Ozomahtli,0,0,Dormant
P-GLEZ,0,0,Dormant
PJB3005,0,0,Dormant
PZerua,0,0,Dormant
Panquesito7,0,0,Dormant
PapaFl,0,0,Dormant
PapyChacal,0,0,Dormant
Paragoumba,0,0,Dormant
ParanoidHawk,0,0,Dormant
Paritosh97,0,0,Dormant
ParsleighScumble,0,0,Dormant
PartyLogan,0,0,Dormant
PastMoments,0,0,Dormant
Patchcoat,0,0,Dormant
Patedam,0,0,Dormant
PatrickKaster,0,0,Dormant
PattyHoswell,0,0,Dormant
PaulUlanovskij,0,0,Dormant
Paulb23,0,0,Dormant
PeaceSells50,0,0,Dormant
PeanutButterRat,0,0,Dormant
PedroHugoNoevo,0,0,Dormant
Pennycook,0,0,Dormant
Pepito468,0,0,Dormant
PerMalmberg,0,0,Dormant
PetePete1984,0,0,Dormant
PhilWun,0,0,Dormant
Phischermen,0,0,Dormant
PhoenixFlame101,0,0,Dormant
PiOverFour,0,0,Dormant
PierceLBrooks,0,0,Dormant
PierreNAPOLETANO,0,0,Dormant
Piet-G,0,0,Dormant
Pingar5,0,0,Dormant
Piralein,0,0,Dormant
Pizzaandy,0,0,Dormant
Pleto,0,0,Dormant
Plopsiskopsis,0,0,Dormant
Pobega,0,0,Dormant
PoolloverNathan,0,0,Dormant
Pop0p,0,0,Dormant
PoqXert,0,0,Dormant
PorkrollPosadist,0,0,Dormant
Portponky,0,0,Dormant
PostPollux,0,0,Dormant
Powerbyte7,0,0,Dormant
PrIzRaKDev,0,0,Dormant
Praytic,0,0,Dormant
PrecisionRender,0,0,Dormant
PrestonKnopp,0,0,Dormant
PrinceDeveloperOf,0,0,Dormant
ProbDenis,0,0,Dormant
ProbablyWorks,0,0,Dormant
ProfesorTartelett,0,0,Dormant
Proggle,0,0,Dormant
PrometheosFire,0,0,Dormant
Psychpsyo,0,0,Dormant
PtrMan,0,0,Dormant
PucklaJ,0,0,Dormant
PureAsbestos,0,0,Dormant
Pylgos,0,0,Dormant
